Who is the author of 'The Chronicles of Narnia'?,C.S. Lewis,J.K. Rowling,Roald Dahl,George Orwell,C.S. Lewis
Which gas is used in fire extinguishers?,Carbon Dioxide,Oxygen,Nitrogen,Helium,Carbon Dioxide
Which is the smallest planet in the solar system?,Mercury,Mars,Venus,Pluto,Mercury
Who invented the polio vaccine?,Jonas Salk,Albert Sabin,Alexander Fleming,Edward Jenner,Jonas Salk
Which animal is known as the Ship of the Desert?,Camel,Horse,Elephant,Donkey,Camel
Which country is called the “Land of Smiles”?,Thailand,Japan,China,India,Thailand
Who discovered the neutron?,James Chadwick,Ernest Rutherford,Niels Bohr,Marie Curie,James Chadwick
Which element is used in making pencils?,Carbon,Graphite,Iron,Lead,Graphite
Which is the largest country by area?,Russia,Canada,China,USA,Russia
What is the largest organ inside the human body?,Liver,Heart,Lungs,Kidney,Liver
Which planet has the highest number of natural satellites?,Saturn,Jupiter,Uranus,Neptune,Saturn
Who is known as the father of modern astronomy?,Galileo Galilei,Isaac Newton,Albert Einstein,Nikola Tesla,Galileo Galilei
Which river is called the “Sorrow of Bengal”?,Damodar,Ganga,Brahmaputra,Yamuna,Damodar
Which animal is known as the “King of the Arctic”?,Polar Bear,Walrus,Seal,Arctic Fox,Polar Bear
Which gas is used in electric bulbs?,Argon,Neon,Helium,Krypton,Argon
What is the chemical formula for methane?,CH4,CO2,H2O,NH3,CH4
Which organ controls hormones in the body?,Pituitary,Liver,Pancreas,Thyroid,Pituitary
Which country is home to the Taj Mahal?,India,Pakistan,Bangladesh,Nepal,India
Which is the largest desert in Africa?,Sahara,Gobi,Kalahari,Libyan,Sahara
Who discovered the first transistor?,John Bardeen,Albert Einstein,Thomas Edison,Nikola Tesla,John Bardeen
Which animal is known for long neck?,Giraffe,Elephant,Kangaroo,Horse,Giraffe
Which planet is famous for its rings?,Saturn,Jupiter,Mars,Venus,Saturn
Which is the largest island in the world?,Greenland,Madagascar,Borneo,New Guinea,Greenland
Who wrote 'Anna Karenina'?,Leo Tolstoy,Mark Twain,Charles Dickens,Victor Hugo,Leo Tolstoy
Which is the fastest bird on earth?,Peregrine Falcon,Eagle,Hawk,Sparrow,Peregrine Falcon
question,option1,option2,option3,option4,answer
Which is the largest species of dolphin?,Orca,Bottlenose,Sperm Whale,Killer Whale,Orca
Which country is known as the “Land of the Rising Sun”?,Japan,China,Thailand,India,Japan
Who discovered the law of gravity?,Isaac Newton,Albert Einstein,Nikola Tesla,Galileo Galilei,Isaac Newton
Which is the largest mammal on Earth?,Blue Whale,Elephant,Rhino,Hippopotamus,Blue Whale
Which planet is called the “Red Planet”?,Mars,Venus,Jupiter,Mercury,Mars
Who wrote 'Macbeth'?,William Shakespeare,Mark Twain,Charles Dickens,Jane Austen,William Shakespeare
Which gas is most abundant in Earth's atmosphere?,Nitrogen,Oxygen,Carbon Dioxide,Hydrogen,Nitrogen
Which is the longest river in Asia?,Yangtze,Ganga,Nile,Amazon,Yangtze
What is the chemical symbol for potassium?,K,Na,P,Po,K
Which organ is responsible for pumping blood?,Heart,Liver,Kidney,Lungs,Heart
Who painted 'Guernica'?,Pablo Picasso,Van Gogh,Leonardo da Vinci,Michelangelo,Pablo Picasso
Which planet has the most moons?,Saturn,Jupiter,Mars,Earth,Saturn
Who is the author of 'Moby-Dick'?,Herman Melville,J.K. Rowling,Mark Twain,Leo Tolstoy,Herman Melville
Which animal is known as the Ship of the Desert?,Camel,Horse,Elephant,Donkey,Camel
Which is the largest desert in the world?,Antarctic,Sahara,Gobi,Kalahari,Antarctic
Which gas do humans inhale?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Oxygen
Which is the tallest mountain in the world?,Mount Everest,K2,Kangchenjunga,Lhotse,Mount Everest
Who invented the telephone?,Alexander Graham Bell,Thomas Edison,Nikola Tesla,James Watt,Alexander Graham Bell
Which planet is closest to the Sun?,Mercury,Venus,Earth,Mars,Mercury
Who wrote 'Crime and Punishment'?,Fyodor Dostoevsky,Leo Tolstoy,Mark Twain,Charles Dickens,Fyodor Dostoevsky
Which element has the chemical symbol 'Fe'?,Iron,Gold,Silver,Lead,Iron
Which country gifted the Statue of Liberty to the USA?,France,Italy,Germany,England,France
Which organ produces insulin?,Pancreas,Liver,Kidney,Heart,Pancreas
Which animal is the largest land predator?,Polar Bear,Tiger,Lion,Grizzly Bear,Polar Bear
Which planet is known for its Great Red Spot?,Jupiter,Saturn,Mars,Uranus,Jupiter
Who discovered penicillin?,Alexander Fleming,Marie Curie,Louis Pasteur,Edward Jenner,Alexander Fleming
Which is the longest bone in the human body?,Femur,Humerus,Tibia,Radius,Femur
What is the boiling point of water at sea level?,100°C,90°C,110°C,120°C,100°C
Which is the largest ocean?,Pacific,Atlantic,Indian,Arctic,Pacific
Who painted the 'Mona Lisa'?,Leonardo da Vinci,Michelangelo,Raphael,Donatello,Leonardo da Vinci
Which gas is used in balloons to float?,Helium,Oxygen,Nitrogen,Carbon Dioxide,Helium
Which animal is known for its black and white stripes?,Zebra,Tiger,Leopard,Hyena,Zebra
Which country is known as the Emerald Isle?,Ireland,Scotland,Norway,Sweden,Ireland
Which planet has the shortest day?,Jupiter,Saturn,Mars,Venus,Jupiter
Who wrote 'The Odyssey'?,Homer,Virgil,Dante,Shakespeare,Homer
Which animal lays the largest eggs?,Ostrich,Emu,Chicken,Turkey,Ostrich
Which is the largest volcano in the world?,Mauna Loa,Mount Etna,Mount Fuji,Mount Kilimanjaro,Mauna Loa
Which gas do humans exhale?,Carbon Dioxide,Oxygen,Nitrogen,Hydrogen,Carbon Dioxide
Who was the first man on the moon?,Neil Armstrong,Yuri Gagarin,Buzz Aldrin,Michael Collins,Neil Armstrong
What is the smallest planet in the solar system?,Mercury,Mars,Venus,Pluto,Mercury
Which is the largest desert in Asia?,Gobi,Sahara,Karakum,Thar,Gobi
Which element has the chemical symbol 'C'?,Carbon,Calcium,Cobalt,Chlorine,Carbon
Which is the national flower of India?,Lotus,Rose,Lily,Jasmine,Lotus
Who is the author of '1984'?,George Orwell,Aldous Huxley,J.K. Rowling,Ernest Hemingway,George Orwell
Which is the fastest marine animal?,Sailfish,Dolphin,Shark,Tuna,Sailfish
What is the chemical formula for carbon dioxide?,CO2,CO,H2O,CH4,CO2
Which planet is known as the Blue Planet?,Earth,Neptune,Uranus,Mars,Earth
Who is known as the father of modern chemistry?,Antoine Lavoisier,Dmitri Mendeleev,Marie Curie,Nikola Tesla,Antoine Lavoisier
Which organ regulates water balance?,Kidney,Liver,Heart,Lungs,Kidney
Who discovered the laws of motion?,Isaac Newton,Albert Einstein,Nikola Tesla,Galileo Galilei,Isaac Newton
Which is the largest species of cat?,Tiger,Lion,Leopard,Jaguar,Tiger
Which country is famous for the Great Wall?,China,Japan,India,Russia,China
Which is the smallest continent by population?,Antarctica,Australia,Europe,Africa,Antarctica
Who wrote 'The Catcher in the Rye'?,J.D. Salinger,Ernest Hemingway,F. Scott Fitzgerald,Mark Twain,J.D. Salinger
Which planet is known for its tilted axis?,Uranus,Venus,Mars,Jupiter,Uranus
What is the process of water turning into vapor called?,Evaporation,Condensation,Precipitation,Sublimation,Evaporation
Who developed the theory of relativity?,Albert Einstein,Isaac Newton,Nikola Tesla,Galileo Galilei,Albert Einstein
Which is the largest species of bear?,Polar Bear,Grizzly Bear,Black Bear,Panda Bear,Polar Bear
What is the chemical formula of ammonia?,NH3,CH4,H2O,CO2,NH3
Which country is home to the Eiffel Tower?,France,Italy,Spain,Germany,France
Who discovered the electron?,J.J. Thomson,Marie Curie,Albert Einstein,Isaac Newton,J.J. Thomson
Which gas is used in balloons to make them float?,Helium,Oxygen,Nitrogen,Carbon Dioxide,Helium
Which animal is known for having black and white stripes?,Zebra,Tiger,Leopard,Hyena,Zebra
What is the main language spoken in Argentina?,Spanish,Portuguese,English,French,Spanish
Who is the author of 'The Hobbit'?,J.R.R. Tolkien,C.S. Lewis,J.K. Rowling,George Orwell,J.R.R. Tolkien
Which planet is closest to Earth?,Venus,Mars,Jupiter,Saturn,Venus
What is the largest internal organ of the human body?,Liver,Heart,Lungs,Stomach,Liver
Which is the longest bone in the human body?,Femur,Tibia,Humerus,Radius,Femur
question,option1,option2,option3,option4,answer
Who is known as the “Iron Man of India”?,Sardar Patel,Mahatma Gandhi,Nehru,B.R. Ambedkar,Sardar Patel
Which element has the highest atomic number?,Oganesson,Uranium,Gold,Lead,Oganesson
Which river flows through Egypt?,Nile,Amazon,Ganga,Yangtze,Nile
What is the chemical symbol for lead?,Pb,Au,Ag,Fe,Pb
Which is the largest species of turtle?,Leatherback Sea Turtle,Green Sea Turtle,Hawksbill Turtle,Loggerhead Turtle,Leatherback Sea Turtle
Who painted 'The Last Supper'?,Leonardo da Vinci,Michelangelo,Raphael,Donatello,Leonardo da Vinci
Which organ in the human body produces bile?,Liver,Pancreas,Stomach,Kidney,Liver
Which country is the origin of the tulip?,Turkey,Netherlands,France,Italy,Turkey
Which is the fastest land mammal?,Cheetah,Lion,Tiger,Leopard,Cheetah
Who discovered the structure of DNA?,Watson & Crick,Gregor Mendel,Charles Darwin,Louis Pasteur,Watson & Crick
Which element is required for hemoglobin?,Iron,Calcium,Magnesium,Potassium,Iron
What is the capital of Australia?,Canberra,Sydney,Melbourne,Brisbane,Canberra
Which planet is famous for its red color?,Mars,Venus,Jupiter,Mercury,Mars
Who is the author of 'The Alchemist'?,Paulo Coelho,George Orwell,J.K. Rowling,Ernest Hemingway,Paulo Coelho
Which is the highest mountain in Africa?,Mount Kilimanjaro,Mount Kenya,Atlas Mountains,Rwenzori,Mount Kilimanjaro
Which organ filters blood in the human body?,Kidney,Liver,Heart,Lungs,Kidney
Which is the largest species of fish?,Whale Shark,Great White Shark,Shark Mako,Tuna,Whale Shark
What is the process by which plants make their food?,Photosynthesis,Respiration,Transpiration,Digestion,Photosynthesis
Who invented the steam engine?,James Watt,Thomas Edison,Nikola Tesla,Alexander Graham Bell,James Watt
Which country is known as the “Land of Fire and Ice”?,Iceland,Norway,Finland,Sweden,Iceland
Which planet has the shortest day?,Jupiter,Saturn,Mars,Venus,Jupiter
Who is the author of 'The Little Prince'?,Antoine de Saint-Exupéry,J.K. Rowling,George Orwell,Mark Twain,Antoine de Saint-Exupéry
What is the largest species of penguin?,Emperor Penguin,King Penguin,Adelie Penguin,Chinstrap Penguin,Emperor Penguin
Which is the longest river in South America?,Amazon,Nile,Yangtze,Mississippi,Amazon
Which is the largest ocean in the world?,Pacific,Atlantic,Indian,Arctic,Pacific
Who invented the first airplane?,Wright Brothers,Alexander Graham Bell,Nikola Tesla,Thomas Edison,Wright Brothers
Which gas is essential for respiration?,Oxygen,Carbon Dioxide,Nitrogen,Hydrogen,Oxygen
Which animal is known for having a pouch?,Kangaroo,Koala,Elephant,Tiger,Kangaroo
Which country is famous for the Colosseum?,Italy,Greece,France,Spain,Italy
Which planet is the largest in the solar system?,Jupiter,Saturn,Mars,Earth,Jupiter
Who wrote 'Hamlet'?,William Shakespeare,Mark Twain,Charles Dickens,Jane Austen,William Shakespeare
Which country is known as the “Emerald Isle”?,Ireland,Scotland,Norway,Sweden,Ireland
Which element has the chemical symbol 'Mg'?,Magnesium,Manganese,Mercury,Mo,Magnesium
Who is known as the father of Indian nuclear program?,Homi J. Bhabha,Abdul Kalam,Jagadish Chandra Bose,C.V. Raman,Homi J. Bhabha
Which organ stores urine?,Bladder,Liver,Kidney,Stomach,Bladder
Which is the fastest marine mammal?,Dolphin,Shark,Seal,Whale,Dolphin
What is the capital of Canada?,Ottawa,Toronto,Montreal,Vancouver,Ottawa
Which gas is used in fluorescent lamps?,Argon,Neon,Helium,Krypton,Argon
Who discovered radioactivity?,Marie Curie,Albert Einstein,Isaac Newton,Nikola Tesla,Marie Curie
Which is the largest coral reef system in the world?,Great Barrier Reef,Red Sea Reef,Mesoamerican Reef,Florida Reef,Great Barrier Reef
Which planet is known for its storm called the “Great Red Spot”?,Jupiter,Saturn,Mars,Uranus,Jupiter
Who is the author of 'War and Peace'?,Leo Tolstoy,Charles Dickens,Mark Twain,Victor Hugo,Leo Tolstoy
Which is the largest mammal on land?,Elephant,Blue Whale,Rhino,Hippopotamus,Elephant
Which is the most abundant metal in the Earth's crust?,Aluminum,Iron,Gold,Silver,Aluminum
Which country is called the “Land of the Maple Leaf”?,Canada,USA,UK,Australia,Canada
What is the largest artery in the human body?,Aorta,Carotid,Coronary,Jugular,Aorta
Which planet has the most volcanoes?,Venus,Mars,Jupiter,Earth,Venus
Who discovered the first vaccine?,Edward Jenner,Louis Pasteur,Alexander Fleming,Marie Curie,Edward Jenner
Which is the largest species of bear?,Polar Bear,Grizzly Bear,Black Bear,Panda Bear,Polar Bear
Which element has the chemical symbol 'Zn'?,Zinc,Zirconium,Neon,Nickel,Zinc
Who wrote 'Les Misérables'?,Victor Hugo,Charles Dickens,Mark Twain,Leo Tolstoy,Victor Hugo
Which animal lays the largest eggs?,Ostrich,Emu,Chicken,Turkey,Ostrich
Which is the tallest building in the world?,Burj Khalifa,Shanghai Tower,One World Trade Center,Petronas Towers,Burj Khalifa
Which planet is known as the Morning Star?,Venus,Mars,Mercury,Jupiter,Venus
Who is the author of 'The Chronicles of Narnia'?,C.S. Lewis,J.K. Rowling,Roald Dahl,George Orwell,C.S. Lewis
Which gas is used in fire extinguishers?,Carbon Dioxide,Oxygen,Nitrogen,Helium,Carbon Dioxide
Which is the smallest planet in the solar system?,Mercury,Mars,Venus,Pluto,Mercury
Who invented the polio vaccine?,Jonas Salk,Albert Sabin,Alexander Fleming,Edward Jenner,Jonas Salk
Which animal is known as the Ship of the Desert?,Camel,Horse,Elephant,Donkey,Camel
Which country is called the “Land of Smiles”?,Thailand,Japan,China,India,Thailand
Who discovered the neutron?,James Chadwick,Ernest Rutherford,Niels Bohr,Marie Curie,James Chadwick
Which element is used in making pencils?,Graphite,Carbon,Iron,Lead,Graphite
Which is the largest country by area?,Russia,Canada,China,USA,Russia
What is the largest organ inside the human body?,Liver,Heart,Lungs,Kidney,Liver
Which planet has the highest number of natural satellites?,Saturn,Jupiter,Uranus,Neptune,Saturn
Who is known as the father of modern astronomy?,Galileo Galilei,Isaac Newton,Albert Einstein,Nikola Tesla,Galileo Galilei
Which river is called the “Sorrow of Bengal”?,Damodar,Ganga,Brahmaputra,Yamuna,Damodar
Which animal is known as the “King of the Arctic”?,Polar Bear,Walrus,Seal,Arctic Fox,Polar Bear
Which gas is used in electric bulbs?,Argon,Neon,Helium,Krypton,Argon
What is the chemical formula for methane?,CH4,CO2,H2O,NH3,CH4
Which organ controls hormones in the body?,Pituitary,Liver,Pancreas,Thyroid,Pituitary
Which country is home to the Taj Mahal?,India,Pakistan,Bangladesh,Nepal,India
Which is the largest desert in Africa?,Sahara,Gobi,Kalahari,Libyan,Sahara
Who discovered the first transistor?,John Bardeen,Albert Einstein,Thomas Edison,Nikola Tesla,John Bardeen
Which animal is known for long neck?,Giraffe,Elephant,Kangaroo,Horse,Giraffe
Which planet is famous for its rings?,Saturn,Jupiter,Mars,Venus,Saturn
Which is the largest island in the world?,Greenland,Madagascar,Borneo,New Guinea,Greenland
Who wrote 'Anna Karenina'?,Leo Tolstoy,Mark Twain,Charles Dickens,Victor Hugo,Leo Tolstoy
Which is the fastest bird on earth?,Peregrine Falcon,Eagle,Hawk,Sparrow,Peregrine Falcon
question,option1,option2,option3,option4,answer
Which planet is known as the “Giant Planet”?,Jupiter,Saturn,Uranus,Neptune,Jupiter
Who is known as the “Father of Modern Physics”?,Albert Einstein,Isaac Newton,Nikola Tesla,Galileo Galilei,Albert Einstein
Which element is liquid at room temperature?,Mercury,Bromine,Gold,Silver,Mercury
Which is the largest bird in the world?,Ostrich,Eagle,Albatross,Condor,Ostrich
Who wrote 'Pride and Prejudice'?,Jane Austen,Charles Dickens,Mark Twain,Leo Tolstoy,Jane Austen
Which organ is responsible for digestion?,Stomach,Liver,Pancreas,Intestine,Stomach
Which planet is farthest from the Sun?,Neptune,Uranus,Saturn,Jupiter,Neptune
Who discovered electricity?,Benjamin Franklin,Thomas Edison,Nikola Tesla,Michael Faraday,Benjamin Franklin
Which is the largest species of shark?,Whale Shark,Great White Shark,Hammerhead Shark,Tiger Shark,Whale Shark
